city,date,grass_pollen,temperature,humidity,wind_speed,precipitation
Dresden,2026-05-15,1.9833333333333334,11.441666666666668,67.375,5.120833333333334,2.8
Dresden,2026-05-16,2.6916666666666664,11.316666666666668,66.875,7.216666666666666,0.1
Dresden,2026-05-17,4.0375000000000005,12.129166666666668,58.583333333333336,3.85,0.0
Düsseldorf,2026-05-11,1.2666666666666666,9.825000000000001,71.83333333333333,13.25,18.9
Düsseldorf,2026-05-12,2.6958333333333333,9.075000000000001,62.708333333333336,14.370833333333332,2.3
Düsseldorf,2026-05-13,0.6333333333333333,10.625,76.20833333333333,12.441666666666668,6.2
Düsseldorf,2026-05-14,0.9583333333333334,9.258333333333333,78.375,10.9625,4.1000000000000005
Düsseldorf,2026-05-15,2.6,10.025,67.125,8.920833333333333,0.5
Düsseldorf,2026-05-16,1.9083333333333332,11.058333333333332,61.083333333333336,7.895833333333333,0.0
Düsseldorf,2026-05-17,1.5166666666666666,12.166666666666666,73.625,10.029166666666667,12.0
Erfurt,2026-05-11,0.7125,11.829166666666666,79.58333333333333,9.470833333333333,3.3000000000000003
Erfurt,2026-05-12,0.9833333333333334,6.8875,70.79166666666667,14.395833333333334,2.6999999999999997
Erfurt,2026-05-13,0.9916666666666667,9.508333333333333,67.83333333333333,11.833333333333334,1.8
Erfurt,2026-05-14,1.2125000000000001,9.404166666666667,70.0,9.604166666666666,2.1
Erfurt,2026-05-15,1.6166666666666665,7.9125000000000005,77.58333333333333,4.116666666666666,1.4000000000000001
Erfurt,2026-05-16,2.0500000000000003,8.637500000000001,69.45833333333333,7.933333333333334,0.30000000000000004
Erfurt,2026-05-17,3.0625,11.670833333333334,54.958333333333336,6.145833333333333,0.0
Hanover,2026-05-11,1.8916666666666666,8.637500000000001,74.375,13.012500000000001,22.1
Hanover,2026-05-12,2.470833333333333,7.604166666666667,70.58333333333333,13.9,5.1
Hanover,2026-05-13,1.2375,9.391666666666667,73.70833333333333,9.870833333333334,7.0
Hanover,2026-05-14,0.4166666666666667,9.012500000000001,75.66666666666667,8.741666666666667,3.3000000000000003
Hanover,2026-05-15,3.420833333333333,9.637500000000001,68.83333333333333,6.7250000000000005,0.5
Hanover,2026-05-16,3.5416666666666665,9.945833333333333,65.04166666666667,10.475,0.5
Hanover,2026-05-17,6.054166666666667,12.220833333333333,59.041666666666664,7.875,0.0
Magdeburg,2026-05-11,1.6458333333333333,10.9625,82.04166666666667,9.470833333333333,2.4
Magdeburg,2026-05-12,2.1875,7.283333333333334,73.875,11.329166666666666,4.1000000000000005
Magdeburg,2026-05-13,1.2833333333333334,9.679166666666667,72.875,9.816666666666666,1.7
Magdeburg,2026-05-14,1.6041666666666667,9.958333333333334,73.54166666666667,8.612499999999999,4.0
Magdeburg,2026-05-15,2.5833333333333335,10.033333333333333,67.70833333333333,5.4375,0.4
Magdeburg,2026-05-16,3.533333333333333,10.245833333333334,64.29166666666667,9.183333333333334,0.5
Magdeburg,2026-05-17,5.045833333333333,11.6625,63.0,4.558333333333334,0.0
Mainz,2026-05-11,1.9416666666666667,11.5375,82.04166666666667,8.054166666666667,14.4
Mainz,2026-05-12,5.2124999999999995,8.504166666666666,61.541666666666664,10.112499999999999,0.4
Mainz,2026-05-13,4.604166666666667,10.483333333333333,69.20833333333333,9.579166666666667,7.0
Mainz,2026-05-14,4.545833333333333,9.9,73.75,8.654166666666667,4.0
Mainz,2026-05-15,4.125,10.2125,72.45833333333333,5.2,3.4
Mainz,2026-05-16,5.541666666666667,10.029166666666667,65.58333333333333,5.883333333333333,0.30000000000000004
Mainz,2026-05-17,10.3625,12.095833333333333,65.875,4.408333333333333,0.30000000000000004
Rostock,2026-05-11,0.5791666666666667,10.029166666666667,86.125,8.8375,15.1
Rostock,2026-05-12,1.1208333333333333,8.533333333333333,75.41666666666667,15.408333333333333,0.2
Rostock,2026-05-13,1.2458333333333333,8.775,77.25,12.483333333333334,1.4000000000000001
Rostock,2026-05-14,1.4541666666666666,9.195833333333333,78.20833333333333,8.5375,5.1
Rostock,2026-05-15,1.9416666666666667,10.054166666666667,70.66666666666667,7.104166666666667,0.1
Rostock,2026-05-16,2.095833333333333,9.483333333333333,74.33333333333333,12.870833333333332,2.9000000000000004
Rostock,2026-05-17,3.720833333333333,11.316666666666668,65.29166666666667,9.733333333333333,0.0
